league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,total_fee_in_2_years_future,mean_fee_in_2_years_future,mean_age_in_2_years_future,total_fee_in_GK_2_years_future,mean_fee_in_GK_2_years_future,mean_age_in_GK_2_years_future,count_GK_in_2_years_future,total_fee_in_DEF_2_years_future,mean_fee_in_DEF_2_years_future,mean_age_in_DEF_2_years_future,count_DEF_in_2_years_future,total_fee_in_MID_2_years_future,mean_fee_in_MID_2_years_future,mean_age_in_MID_2_years_future,count_MID_in_2_years_future,total_fee_in_STK_2_years_future,mean_fee_in_STK_2_years_future,mean_age_in_STK_2_years_future,count_STK_in_2_years_future,total_fee_out_2_years_future,mean_fee_out_2_years_future,mean_age_out_2_years_future,total_fee_out_GK_2_years_future,mean_fee_out_GK_2_years_future,mean_age_out_GK_2_years_future,count_GK_out_2_years_future,total_fee_out_DEF_2_years_future,mean_fee_out_DEF_2_years_future,mean_age_out_DEF_2_years_future,count_DEF_out_2_years_future,total_fee_out_MID_2_years_future,mean_fee_out_MID_2_years_future,mean_age_out_MID_2_years_future,count_MID_out_2_years_future,total_fee_out_STK_2_years_future,mean_fee_out_STK_2_years_future,mean_age_out_STK_2_years_future,count_STK_out_2_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
1 Bundesliga,Bayer 04 Leverkusen,2009,6.55,2.183,20.333,0.0,0.0,0.0,0,0.25,0.25,20.0,1,2.5,2.5,20.0,1,3.8,3.8,21.0,1,1.6,0.4,23.0,0.0,0.0,0.0,0,0.4,0.4,22.0,1,0.5,0.5,22.0,1,0.7,0.35,24.0,2,4,15,14,5,65,38,27,1.74,0,5.7,1.425,20.25,0.0,0.0,0.0,0.0,2.4,2.4,21.0,1.0,0.5,0.5,19.0,1.0,2.8,1.4,20.5,2.0,6.55,1.638,27.5,0.0,0.0,0.0,0.0,0.4,0.4,34.0,1.0,0.15,0.15,20.0,1.0,6.0,3.0,28.0,2.0,0,2,20,8,6,64,44,20,2.0,25.81,4.302,22.167,8.26,2.753,22.333,3.0,3.55,1.775,23.0,2.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,1.0,16.06,2.294,21.857,0.0,0.0,0.0,0.0,1.8,0.9,23.0,2.0,13.95,4.65,22.0,3.0,0.31,0.155,20.5,2.0,0,5,15,9,10,52,44,8,1.59,0
1 Bundesliga,Bayern Munich,2009,75.7,15.14,26.2,0.0,0.0,0.0,0,9.7,4.85,26.5,2,11.0,11.0,30.0,1,55.0,27.5,24.0,2,22.95,4.59,25.2,0.0,0.0,0.0,0,11.2,5.6,25.5,2,11.75,3.917,25.0,3,0.0,0.0,0.0,0,1,20,10,4,72,31,41,2.06,0,17.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,23.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,27.5,0.0,0.0,0.0,0.0,3.0,3.0,30.0,1.0,3.0,3.0,25.0,1.0,0.0,0.0,0.0,0.0,0,3,19,8,7,81,40,41,1.91,52.1,10.42,22.6,30.0,30.0,25.0,1.0,19.0,9.5,23.5,2.0,0.0,0.0,0.0,0.0,3.1,1.55,20.5,2.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,21.0,1.0,0.0,0.0,0.0,0.0,0,2,23,4,7,77,22,55,2.15,0
1 Bundesliga,Borussia Dortmund,2009,10.9,2.725,22.5,0.0,0.0,0.0,0,4.2,4.2,20.0,1,1.5,1.5,20.0,1,5.2,2.6,25.0,2,6.35,1.588,26.75,0.0,0.0,0.0,0,1.9,0.95,25.0,2,0.2,0.2,27.0,1,4.25,4.25,30.0,1,5,16,9,9,54,42,12,1.68,0,5.25,2.625,21.0,0.5,0.5,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.75,21.0,1.0,4.3,0.717,24.667,0.3,0.3,34.0,1.0,0.1,0.1,24.0,1.0,0.2,0.1,18.5,2.0,3.7,1.85,26.5,2.0,0,1,23,6,5,67,22,45,2.21,9.725,3.242,21.333,0.0,0.0,0.0,0.0,0.225,0.225,22.0,1.0,9.5,4.75,21.0,2.0,0.0,0.0,0.0,0.0,12.14,1.349,24.333,0.0,0.0,0.0,0.0,0.19,0.095,20.0,2.0,11.25,2.812,25.25,4.0,0.7,0.233,26.0,3.0,0,1,25,6,3,80,25,55,2.38,0
1 Bundesliga,FC Schalke 04,2009,8.5,0.944,21.667,0.0,0.0,0.0,0,0.4,0.2,21.5,2,7.0,1.75,22.0,4,1.1,0.367,21.333,3,4.8,1.2,23.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.7,1.567,24.667,3,0.1,0.1,19.0,1,2,19,8,7,53,31,22,1.91,0,36.1,4.011,23.778,0.0,0.0,0.0,0.0,6.1,1.22,23.0,5.0,13.0,6.5,24.0,2.0,17.0,8.5,25.5,2.0,20.05,2.005,23.3,0.0,0.0,0.0,0.0,15.9,3.18,23.8,5.0,3.45,0.862,22.5,4.0,0.7,0.7,24.0,1.0,1,14,11,7,16,38,44,-6,1.18,7.3,1.825,23.0,0.0,0.0,0.0,0.0,3.8,3.8,25.0,1.0,1.5,1.5,21.0,1.0,2.0,1.0,23.0,2.0,34.075,3.408,24.1,30.0,30.0,25.0,1.0,1.5,0.5,23.333,3.0,1.575,0.525,23.667,3.0,1.0,0.333,25.0,3.0,0,3,20,4,10,74,44,30,1.88,0
1 Bundesliga,SV Werder Bremen,2009,13.0,2.167,23.833,0.0,0.0,0.0,0,0.2,0.2,20.0,1,8.95,4.475,24.5,2,3.85,1.283,24.667,3,32.375,8.094,23.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,27.075,13.538,22.5,2,5.3,2.65,24.0,2,3,17,10,7,71,40,31,1.79,0,16.24,3.248,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,2.613,20.333,3.0,8.4,4.2,21.5,2.0,21.5,3.071,24.0,0.0,0.0,0.0,0.0,0.05,0.05,21.0,1.0,18.2,9.1,23.5,2.0,3.25,0.812,25.0,4.0,1,13,10,11,13,47,61,-14,1.21,8.8,1.1,20.75,0.0,0.0,0.0,0.0,2.3,0.575,20.75,4.0,6.5,1.625,20.75,4.0,0.0,0.0,0.0,0.0,20.25,2.25,24.111,0.1,0.1,21.0,1.0,12.8,6.4,27.5,2.0,6.85,2.283,24.667,3.0,0.5,0.167,22.333,3.0,1,9,11,9,14,49,58,-9,1.24,1
1 Bundesliga,VfB Stuttgart,2009,18.1,3.017,22.833,0.0,0.0,0.0,0,3.0,1.5,23.0,2,10.3,3.433,22.0,3,4.8,4.8,25.0,1,30.95,7.738,27.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.95,0.317,28.667,3,30.0,30.0,23.0,1,6,15,10,9,51,41,10,1.62,0,13.1,1.871,26.857,0.3,0.3,34.0,1.0,7.4,3.7,25.0,2.0,2.6,1.3,27.5,2.0,2.8,1.4,24.5,2.0,20.5,3.417,22.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,22.4,5.0,0.5,0.5,21.0,1.0,1,12,12,6,16,60,59,1,1.24,11.1,2.22,26.4,0.0,0.0,0.0,0.0,2.1,1.05,24.5,2.0,4.5,2.25,28.0,2.0,4.5,4.5,27.0,1.0,18.1,2.586,21.714,8.0,4.0,19.0,2.0,0.1,0.1,21.0,1.0,9.5,3.167,21.667,3.0,0.5,0.5,28.0,1.0,0,6,15,8,11,63,46,17,1.56,1
1 Bundesliga,1. FC Köln,2009,11.5,3.833,22.0,0.0,0.0,0.0,0,1.0,1.0,20.0,1,10.0,10.0,24.0,1,0.5,0.5,22.0,1,0.9,0.3,25.0,0.0,0.0,0.0,0,0.05,0.05,24.0,1,0.75,0.75,26.0,1,0.1,0.1,25.0,1,13,9,11,14,33,42,-9,1.12,1,4.6,0.575,22.625,0.1,0.1,21.0,1.0,0.4,0.2,25.0,2.0,1.1,0.367,21.667,3.0,3.0,1.5,22.5,2.0,0.05,0.05,24.0,0.05,0.05,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,13,5,16,47,62,-15,1.29,5.88,0.98,24.333,0.0,0.0,0.0,0.0,3.4,1.133,26.0,3.0,2.0,2.0,23.0,1.0,0.48,0.24,22.5,2.0,2.88,0.72,25.0,0.15,0.15,25.0,1.0,2.53,2.53,31.0,1.0,0.15,0.15,21.0,1.0,0.05,0.05,23.0,1.0,2,17,8,6,20,39,75,-36,0.88,2
1 Bundesliga,1.FSV Mainz 05,2009,3.6,0.45,25.5,0.3,0.3,31.0,1,1.0,1.0,26.0,1,2.075,0.519,24.5,4,0.225,0.112,24.5,2,0.2,0.1,30.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.05,0.05,29.0,1,0.15,0.15,31.0,1,9,12,11,11,36,42,-6,1.38,1,3.8,0.475,22.125,0.0,0.0,0.0,0.0,0.4,0.4,24.0,1.0,1.45,0.483,21.0,3.0,1.95,0.488,22.5,4.0,5.12,2.56,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,22.0,1.0,5.0,5.0,25.0,1.0,0,5,18,4,12,52,39,13,1.71,10.9,0.991,23.909,0.0,0.0,0.0,0.0,3.2,1.067,25.333,3.0,4.8,0.96,23.2,5.0,2.9,0.967,23.667,3.0,17.95,4.488,21.0,0.0,0.0,0.0,0.0,3.9,1.95,22.0,2.0,0.0,0.0,0.0,0.0,14.05,7.025,20.0,2.0,1,13,9,12,13,47,51,-4,1.15,1
1 Bundesliga,Borussia Mönchengladbach,2009,10.5,2.625,24.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.3,2.1,25.667,3,4.2,4.2,22.0,1,8.4,2.1,23.25,0.0,0.0,0.0,0,0.15,0.075,23.0,2,8.25,4.125,23.5,2,0.0,0.0,0.0,0,12,10,9,15,43,60,-17,1.15,1,7.0,1.75,26.75,0.0,0.0,0.0,0.0,3.0,1.0,26.667,3.0,0.0,0.0,0.0,0.0,4.0,4.0,27.0,1.0,2.0,0.667,25.667,0.02,0.02,21.0,1.0,0.0,0.0,0.0,0.0,0.18,0.18,27.0,1.0,1.8,1.8,29.0,1.0,2,16,10,6,18,48,65,-17,1.06,2.65,0.442,19.667,0.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,1.55,0.388,20.0,4.0,0.1,0.1,19.0,1.0,3.83,0.547,23.571,0.4,0.4,25.0,1.0,0.2,0.1,23.5,2.0,1.2,1.2,24.0,1.0,2.03,0.677,23.0,3.0,0,4,17,9,8,49,24,25,1.76,1
1 Bundesliga,Eintracht Frankfurt,2009,1.25,0.625,24.5,0.0,0.0,0.0,0,0.75,0.75,27.0,1,0.5,0.5,22.0,1,0.0,0.0,0.0,0,0.6,0.2,22.0,0.0,0.0,0.0,0,0.4,0.2,23.0,2,0.2,0.2,20.0,1,0.0,0.0,0.0,0,10,12,10,12,47,54,-7,1.35,1,2.45,0.817,23.667,0.0,0.0,0.0,0.0,1.2,1.2,22.0,1.0,0.25,0.25,19.0,1.0,1.0,1.0,30.0,1.0,1.15,0.164,23.143,0.0,0.0,0.0,0.0,0.25,0.083,23.667,3.0,0.05,0.05,29.0,1.0,0.85,0.283,20.667,3.0,2,17,9,7,18,31,49,-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0
